CB(Vd=0.2: Vg=3.0) X,CB(Vd=0.2: Vg=3.0) Y,VB(Vd=0.2: Vg=3.0) X,VB(Vd=0.2: Vg=3.0) Y,CB(Vd=0.2: Vg=0.9) X,CB(Vd=0.2: Vg=0.9) Y,VB(Vd=0.2: Vg=0.9) X,VB(Vd=0.2: Vg=0.9) Y,CB(Vd=0.2: Vg=0.3) X,CB(Vd=0.2: Vg=0.3) Y,VB(Vd=0.2: Vg=0.3) X,VB(Vd=0.2: Vg=0.3) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y
0.40790796,0.22604729,0.40790796,-0.89811194,0.40790796,0.29188432,0.40790796,-0.83227491,0.40790796,0.57434667,0.40790796,-0.54981256,0.40790796,0.75842271,0.40790796,-0.36573652
0.421875,0.210626,0.421875,-0.91353323,0.421875,0.27066441,0.421875,-0.85349482,0.421875,0.53665393,0.421875,-0.5875053,0.421875,0.72453783,0.421875,-0.3996214
0.43584204,0.192326,0.43584204,-0.93183323,0.43584204,0.24558639,0.43584204,-0.87857284,0.43584204,0.49003564,0.43584204,-0.63412359,0.43584204,0.68022295,0.43584204,-0.44393628
0.45478296,0.15745075,0.45478296,-0.96670848,0.45478296,0.20285998,0.45478296,-0.92129925,0.45478296,0.42149394,0.45478296,-0.7026653,0.45478296,0.61637358,0.45478296,-0.50778565
0.46875,0.13576837,0.46875,-0.98839086,0.46875,0.17355531,0.46875,-0.95060392,0.46875,0.36604943,0.46875,-0.7581098,0.46875,0.56206826,0.46875,-0.56209097
0.48271704,0.10908208,0.48271704,-1.0150772,0.48271704,0.13852555,0.48271704,-0.98563368,0.48271704,0.30047355,0.48271704,-0.82368568,0.48271704,0.49651436,0.48271704,-0.62764487
0.49534431,0.077899246,0.49534431,-1.04626,0.49534431,0.10152834,0.49534431,-1.0226309,0.49534431,0.24210114,0.49534431,-0.8820581,0.49534431,0.43993537,0.49534431,-0.68422386
0.5,0.067641113,0.5,-1.0565181,0.5,0.088521895,0.5,-1.0356373,0.5,0.21855768,0.5,-0.90560155,0.5,0.41628704,0.5,-0.70787219
0.5,0.067641113,0.5,-1.0565181,0.5,0.088521895,0.5,-1.0356373,0.5,0.21855768,0.5,-0.90560155,0.5,0.41628704,0.5,-0.70787219
0.50631362,0.048276545,0.50631362,-1.0758827,0.50631362,0.066353172,0.50631362,-1.0578061,0.50631362,0.18524426,0.50631362,-0.93891497,0.50631362,0.38364569,0.50631362,-0.74051354
0.515625,0.025292918,0.515625,-1.0988663,0.515625,0.03808862,0.515625,-1.0860706,0.515625,0.13571884,0.515625,-0.98844039,0.515625,0.33379638,0.515625,-0.79036285
0.52959204,0.0072251642,0.52959204,-1.1169341,0.52959204,0.014233984,0.52959204,-1.1099252,0.52959204,0.082210325,0.52959204,-1.0419489,0.52959204,0.27983944,0.52959204,-0.84431979
0.54853296,-0.017233796,0.54853296,-1.141393,0.54853296,-0.015933156,0.54853296,-1.1400924,0.54853296,0.022489092,0.54853296,-1.1016701,0.54853296,0.22217251,0.54853296,-0.90198672
0.5625,-0.025542918,0.5625,-1.1497021,0.5625,-0.026750794,0.5625,-1.15091,0.5625,-0.0087001708,0.5625,-1.1328594,0.5625,0.19079887,0.5625,-0.93336036
0.58144093,-0.028929643,0.58144093,-1.1530889,0.58144093,-0.03059745,0.58144093,-1.1547567,0.58144093,-0.018805282,0.58144093,-1.1429645,0.58144093,0.18112203,0.58144093,-0.9430372
0.609375,-0.032759056,0.609375,-1.1569183,0.609375,-0.034627095,0.609375,-1.1587863,0.609375,-0.032680464,0.609375,-1.1568397,0.609375,0.16720054,0.609375,-0.95695869
0.62831593,-0.033551232,0.62831593,-1.1577105,0.62831593,-0.035250858,0.62831593,-1.1594101,0.62831593,-0.034129299,0.62831593,-1.1582885,0.62831593,0.16584843,0.62831593,-0.9583108
0.65625,-0.034460386,0.65625,-1.1586196,0.65625,-0.035713685,0.65625,-1.1598729,0.65625,-0.035591,0.65625,-1.1597502,0.65625,0.16439271,0.65625,-0.95976652
0.72206593,-0.035054576,0.72206593,-1.1592138,0.72206593,-0.035838505,0.72206593,-1.1599977,0.72206593,-0.035832175,0.72206593,-1.1599914,0.72206593,0.16416762,0.72206593,-0.95999161
0.75,-0.035238712,0.75,-1.1593979,0.75,-0.035859923,0.75,-1.1600192,0.75,-0.035881039,0.75,-1.1600403,0.75,0.16411822,0.75,-0.96004101
0.81581593,-0.035463646,0.81581593,-1.1596229,0.81581593,-0.035873465,0.81581593,-1.1600327,0.81581593,-0.035890165,0.81581593,-1.1600494,0.81581593,0.16410979,0.81581593,-0.96004944
0.84375,-0.035525165,0.84375,-1.1596844,0.84375,-0.035876616,0.84375,-1.1600358,0.84375,-0.035891913,0.84375,-1.1600511,0.84375,0.16410805,0.84375,-0.96005118
0.90956593,-0.0356355,0.90956593,-1.1597947,0.90956593,-0.035881452,0.90956593,-1.1600407,0.90956593,-0.035892256,0.90956593,-1.1600515,0.90956593,0.16410773,0.90956593,-0.9600515
0.9375,-0.035662328,0.9375,-1.1598216,0.9375,-0.035882613,0.9375,-1.1600418,0.9375,-0.035892319,0.9375,-1.1600515,0.9375,0.16410767,0.9375,-0.96005156
1.0033159,-0.035723906,1.0033159,-1.1598831,1.0033159,-0.035885225,1.0033159,-1.1600445,1.0033159,-0.035892332,1.0033159,-1.1600516,1.0033159,0.16410766,1.0033159,-0.96005157
1.03125,-0.03573787,1.03125,-1.1598971,1.03125,-0.035885817,1.03125,-1.160045,1.03125,-0.035892334,1.03125,-1.1600516,1.03125,0.16410766,1.03125,-0.96005157
1.0970659,-0.035775102,1.0970659,-1.1599343,1.0970659,-0.03588739,1.0970659,-1.1600466,1.0970659,-0.035892335,1.0970659,-1.1600516,1.0970659,0.16410766,1.0970659,-0.96005157
1.125,-0.035783229,1.125,-1.1599425,1.125,-0.035887734,1.125,-1.160047,1.125,-0.035892335,1.125,-1.1600516,1.125,0.16410766,1.125,-0.96005157
1.1908159,-0.035806548,1.1908159,-1.1599658,1.1908159,-0.035888718,1.1908159,-1.1600479,1.1908159,-0.035892335,1.1908159,-1.1600516,1.1908159,0.16410766,1.1908159,-0.96005157
1.21875,-0.035811535,1.21875,-1.1599708,1.21875,-0.035888928,1.21875,-1.1600482,1.21875,-0.035892335,1.21875,-1.1600516,1.21875,0.16410766,1.21875,-0.96005157
1.2845659,-0.035825872,1.2845659,-1.1599851,1.2845659,-0.035889532,1.2845659,-1.1600488,1.2845659,-0.035892333,1.2845659,-1.1600516,1.2845659,0.16410766,1.2845659,-0.96005157
