CB(Vd=4.5: Vg=2.5) X,CB(Vd=4.5: Vg=2.5) Y,VB(Vd=4.5: Vg=2.5) X,VB(Vd=4.5: Vg=2.5) Y,CB(Vd=1.6: Vg=2.5) X,CB(Vd=1.6: Vg=2.5) Y,VB(Vd=1.6: Vg=2.5) X,VB(Vd=1.6: Vg=2.5) Y,CB(Vd=0.2: Vg=2.5) X,CB(Vd=0.2: Vg=2.5) Y,VB(Vd=0.2: Vg=2.5) X,VB(Vd=0.2: Vg=2.5) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y,VB(Vd=0.0: Vg=0.0) X,VB(Vd=0.0: Vg=0.0) Y
-0.27492881,-0.72477087,-0.27492881,-1.8489301,-0.27492881,-0.65386999,-0.27492881,-1.7780292,-0.27492881,0.064733946,-0.27492881,-1.0594253,-0.27492881,0.91806812,-0.27492881,-0.20609111
-0.26953125,-0.72779817,-0.26953125,-1.8519574,-0.26953125,-0.65632827,-0.26953125,-1.7804875,-0.26953125,0.0645508,-0.26953125,-1.0596084,-0.26953125,0.91843997,-0.26953125,-0.20571926
-0.26413369,-0.73074612,-0.26413369,-1.8549053,-0.26413369,-0.65870362,-0.26413369,-1.7828628,-0.26413369,0.064503346,-0.26413369,-1.0596559,-0.26413369,0.91875412,-0.26413369,-0.20540512
-0.26321006,-0.73127824,-0.26321006,-1.8554375,-0.26321006,-0.6591247,-0.26321006,-1.7832839,-0.26321006,0.064507427,-0.26321006,-1.0596518,-0.26321006,0.91881783,-0.26321006,-0.2053414
-0.2578125,-0.73429526,-0.2578125,-1.8584545,-0.2578125,-0.66156725,-0.2578125,-1.7857265,-0.2578125,0.064310601,-0.2578125,-1.0598486,-0.2578125,0.91910033,-0.2578125,-0.2050589
-0.25241494,-0.73723656,-0.25241494,-1.8613958,-0.25241494,-0.66392955,-0.25241494,-1.7880888,-0.25241494,0.064249854,-0.25241494,-1.0599094,-0.25241494,0.91933666,-0.25241494,-0.20482257
-0.25149131,-0.73776425,-0.25149131,-1.8619235,-0.25149131,-0.66434517,-0.25149131,-1.7885044,-0.25149131,0.064250701,-0.25149131,-1.0599085,-0.25149131,0.91938454,-0.25149131,-0.20477469
-0.24609375,-0.7407793,-0.24609375,-1.8649385,-0.24609375,-0.66677812,-0.24609375,-1.7909373,-0.24609375,0.064042434,-0.24609375,-1.0601168,-0.24609375,0.91959831,-0.24609375,-0.20456092
-0.24069619,-0.74372621,-0.24069619,-1.8678854,-0.24069619,-0.66913759,-0.24069619,-1.7932968,-0.24069619,0.063966839,-0.24069619,-1.0601924,-0.24069619,0.91977598,-0.24069619,-0.20438325
-0.23977256,-0.74425397,-0.23977256,-1.8684132,-0.23977256,-0.66955181,-0.23977256,-1.793711,-0.23977256,0.063962866,-0.23977256,-1.0601964,-0.23977256,0.91981228,-0.23977256,-0.20434695
-0.234375,-0.7472785,-0.234375,-1.8714377,-0.234375,-0.67198463,-0.234375,-1.7961439,-0.234375,0.063741532,-0.234375,-1.0604177,-0.234375,0.91997444,-0.234375,-0.20418479
-0.22897744,-0.75023651,-0.22897744,-1.8743957,-0.22897744,-0.67434486,-0.22897744,-1.7985041,-0.22897744,0.063653761,-0.22897744,-1.0605055,-0.22897744,0.92010723,-0.22897744,-0.204052
-0.22805381,-0.7507642,-0.22805381,-1.8749234,-0.22805381,-0.67475705,-0.22805381,-1.7989163,-0.22805381,0.063646923,-0.22805381,-1.0605123,-0.22805381,0.92013438,-0.22805381,-0.20402485
